"Freq [GHz]","dB(St11) []"
0.5,-0.434061161823303
0.51010101010101,-0.427547238039319
0.52020202020202,-0.42148938121013
0.53030303030303,-0.416067128760518
0.54040404040404,-0.411469673426431
0.55050505050505,-0.407911478675017
0.560606060606061,-0.405654777080463
0.570707070707071,-0.405044070690758
0.580808080808081,-0.406562316471577
0.590909090909091,-0.410927921339461
0.601010101010101,-0.419272448998652
0.611111111111111,-0.43348799071637
0.621212121212121,-0.456958972311954
0.631313131313131,-0.496250211686716
0.641414141414141,-0.565472008204723
0.651515151515151,-0.69938428040533
0.661616161616162,-1.00151362389086
0.671717171717172,-1.87559067289128
0.681818181818182,-5.35461192747163
0.691919191919192,-6.32301787625735
0.702020202020202,-2.23192893458705
0.712121212121212,-1.19171486348622
0.722222222222222,-0.842471460240629
0.732323232323232,-0.694227117350989
0.742424242424243,-0.623579306822048
0.752525252525253,-0.58958089085482
0.762626262626263,-0.575762167450862
0.772727272727273,-0.574550713169719
0.782828282828283,-0.582116231798731
0.792929292929293,-0.596378798939648
0.803030303030303,-0.61614003067929
0.813131313131313,-0.640663133444893
0.823232323232323,-0.669449461987023
0.833333333333333,-0.702107378490906
0.843434343434343,-0.738267177629874
0.853535353535354,-0.777520846462229
0.863636363636364,-0.819377346294811
0.873737373737374,-0.863230417158995
0.883838383838384,-0.908339523554463
0.893939393939394,-0.953826522104977
0.904040404040404,-0.998691158099889
0.914141414141414,-1.04184750945241
0.924242424242424,-1.08218098125652
0.934343434343434,-1.11862176250553
0.944444444444444,-1.15022665771147
0.954545454545454,-1.17625818171502
0.964646464646465,-1.19624903682066
0.974747474747475,-1.21004227864482
0.984848484848485,-1.21780231299885
0.994949494949495,-1.21999806206035
1.0050505050505,-1.21736546528047
1.01515151515152,-1.21086054984002
1.02525252525253,-1.2016161684943
1.03535353535354,-1.19091582144572
1.04545454545455,-1.18019835341884
1.05555555555556,-1.17111014240118
1.06565656565657,-1.1656302811344
1.07575757575758,-1.16631579352713
1.08585858585859,-1.17676265613558
1.0959595959596,-1.20249020562168
1.10606060606061,-1.25272766573837
1.11616161616162,-1.34429228694904
1.12626262626263,-1.51079427900881
1.13636363636364,-1.82694795493073
1.14646464646465,-2.4810187411837
1.15656565656566,-4.01368050874196
1.16666666666667,-7.93396136090476
1.17676767676768,-10.185753695212
1.18686868686869,-5.14487893766655
1.1969696969697,-2.92403967868079
1.20707070707071,-2.00180340860386
1.21717171717172,-1.56028806033154
1.22727272727273,-1.32331666486344
1.23737373737374,-1.1866910815062
1.24747474747475,-1.10600797354577
1.25757575757576,-1.06062625673846
1.26767676767677,-1.04071519403355
1.27777777777778,-1.04223866355142
1.28787878787879,-1.06518811561203
1.2979797979798,-1.11371210735833
1.30808080808081,-1.19843478959107
1.31818181818182,-1.34339301338681
1.32828282828283,-1.60444905578901
1.33838383838384,-2.09551571070188
1.34848484848485,-2.7697040498842
1.35858585858586,-3.04467317073826
1.36868686868687,-3.48122879143451
1.37878787878788,-4.91457409343207
1.38888888888889,-8.6446280030767
1.3989898989899,-17.5508828440089
1.40909090909091,-9.89264571218191
1.41919191919192,-5.40812926685851
1.42929292929293,-3.564889979999
1.43939393939394,-2.69756604974046
1.44949494949495,-2.25120808784153
1.45959595959596,-2.01044205658905
1.46969696969697,-1.88099675270349
1.47979797979798,-1.8171105080508
1.48989898989899,-1.79442942049763
1.5,-1.79881114168643
